tg,fa
Фурудгоҳи шаҳристон сонтейигу,فرودگاه شهرستان سانتیاگو
Фурудгоҳи шаҳристон сонто борборо,فرودگاه شهرستان سانتا باربارا
Фурудгоҳи шаҳристон сонто фҳ,فرودگاه شهرستان سانتافه
Фурудгоҳи шаҳристон соскс,فرودگاه شهرستان ساسکس
Фурудгоҳи шаҳристон сртго,فرودگاه شهرستان سرتگا
Фурудгоҳи шаҳристон султ мориҳ,فرودگاه شهرستان سولت ماریه
Фурудгоҳи шаҳристон суннат клир,فرودگاه شهرستان سنت کلیر
Фурудгоҳи шаҳристон суонҳ,فرودگاه شهرستان سوانه
Фурудгоҳи шаҳристон счуилкилл,فرودگاه شهرستان سچویلکیلل
Фурудгоҳи шаҳристон сӯят,فرودگاه شهرستان سوت
Фурудгоҳи шаҳристон сӯят вӯд,فرودگاه شهرستان سوت وود
Фурудгоҳи шаҳристон сӯят луис,فرودگاه شهرستان سوت لویس
Фурудгоҳи шаҳристон табалвур (Кентуккӣ),فرودگاه شهرستان تیلور (کنتاکی)
Фурудгоҳи шаҳристон табалвур (висконсин),فرودگاه شهرستان تیلور (ویسکانسین)
Фурудгоҳи шаҳристон трл,فرودگاه شهرستان ترل
Фурудгоҳи шаҳристон тронсилуонио,فرودگاه شهرستان ترانسیلوانیا
Фурудгоҳи шаҳристон филмур,فرودگاه شهرستان فیلمور
Фурудгоҳи шаҳристон фиронклен (тигзос),فرودگاه شهرستان فرانکلین (تگزاس)
Фурудгоҳи шаҳристон фиронклен (тинисӣ),فرودگاه شهرستان فرانکلین (تنسی)
Фурудгоҳи шаҳристон фиронклен (хориҷа),فرودگاه شهرستان فرانکلین (خارجه)
Фурудгоҳи шаҳристон фиронклен (Ҷорҷия),فرودگاه شهرستان فرانکلین (جورجیا)
Фурудгоҳи шаҳристон флглр,فرودگاه شهرستان فلگلر
Фурудгоҳи шаҳристон фол рюр,فرودگاه شهرستان فال ریور
Фурудгоҳи шаҳристон фултн-оитовомбо,فرودگاه شهرستان فولتن-ایتاوامبا
Фурудгоҳи шаҳристон фултн (Ҷорҷия),فرودگاه شهرستان فولتن (جورجیا)
Фурудгоҳи шаҳристон фунд ду лок,فرودگاه شهرستان فوند دو لاک
Фурудгоҳи шаҳристон шул‌б (Алабама),فرودگاه شهرستان شل‌بای (آلاباما)
Фурудгоҳи шаҳристон шул‌б (эл‌ну и),فرودگاه شهرستان شل‌بای (ایلینوی)
Фурудгоҳи шаҳристон шул‌б (مизури),فرودگاه شهرستان شل‌بای (میزوری)
Фурудгоҳи шаҳристон ҳарес,فرودگاه شهرستان هریس
Фурудгоҳи шаҳристон ҳбрсити,فرودگاه شهرستان هبرسیتی
Фурудгоҳи шаҳристон ҳдлнд,فرودگاه شهرستان هدلند
Фурудгоҳи шаҳристон ҳизлтн,فرودگاه شهرستان هیزلتن
Фурудгоҳи шаҳристон ҳил,فرودگاه شهرستان هیل
Фурудгоҳи шаҳристон ҳилдсбург,فرودگاه شهرستان هیلدسبورگ
Фурудгоҳи шаҳристон ҳндрикс,فرودگاه شهرستان هندریکس
Фурудгоҳи шаҳристон ҳндрсун,فرودگاه شهرستان هندرسون
Фурудгоҳи шаҳристон ҳнфрд,فرودگاه شهرستان هنفرد
Фурудгоҳи шаҳристон ҳозн,فرودگاه شهرستان هازن
Фурудгоҳи шаҳристон ҳоилнд,فرودگاه شهرستان هایلند
Фурудгоҳи шаҳристон ҳомбулт,فرودگاه شهرستان هامبولت
Фурудгоҳи шаҳристон ҳомфриз,فرودگاه شهرستان هامفریز
Фурудгоҳи шаҳристон ҳонур совгн,فرودگاه شهرستان هانور/ساوگن
Фурудгоҳи шаҳристон ҳорбр оспрингз,فرودگاه شهرستان هاربر اسپرینگز
Фурудгоҳи шаҳристон ҳорлд,فرودگاه شهرستان هارلد
Фурудгоҳи шаҳристон ҳорн,فرودگاه شهرستان هارن
Фурудгоҳи шаҳристон ҳорфурд,فرودگاه شهرستان هارفورد
Фурудгоҳи шаҳристон ҳот оспрингз,فرودگاه شهرستان هات اسپرینگز
Фурудгоҳи шаҳристон ҳпкинсуил-чристион,فرودگاه شهرستان هپکینسویل-چریستیان
Фурудгоҳи шаҳристон ҳрбр оспрингз,فرودگاه شهرستان هربر اسپرینگز
Фурудгоҳи шаҳристон ҳрнонду,فرودگاه شهرستان هرناندو
Фурудгоҳи шаҳристон ҳрнпоин,فرودگاه شهرستان هرنپاین
Фурудгоҳи шаҳристон ҳрсн,فرودگاه شهرستان هریسون
Фурудгоҳи шаҳристон ҳтизбрг бобӣ ил. Чин,فرودگاه شهرستان هتیزبرگ بابی ال. چین
Фурудгоҳи шаҳристон ҳтингр,فرودگاه شهرستان هتینگر
Фурудгоҳи шаҳристон ҳтрн,فرودگاه شهرستان هترن
Фурудгоҳи шаҳристон ҳубрт,فرودگاه شهرستان هوبرت
Фурудгоҳи шаҳристон ҳугтн,فرودگاه شهرستان هوگتن
Фурудгоҳи шаҳристон ҳундо,فرودگاه شهرستان هوندا
Фурудгоҳи шаҳристон ҳур сетӣ е,فرودگاه شهرستان هور سیتی
Фурудгоҳи шаҳристон ҳустн,فرودگاه شهرستان هوستن
Фурудгоҳи шаҳристон ҳюстн (минҳ‌суто),فرودگاه شهرستان هیوستن (مینه‌سوتا)
Фурудгоҳи шаҳристон ҳюстн (тигзос),فرودگاه شهرستان هیوستن (تگزاس)
Фурудгоҳи шаҳристон ҳюстн (тинисӣ),فرودگاه شهرستان هیوستن (تنسی)
Фурудгоҳи шаҳристон ҷинс,فرودگاه شهرستان جنسی
Фурудгоҳи шаҳристон ҷксн (Каролинаи Шимолӣ),فرودگاه شهرستان جکسن (کارولینای شمالی)
Фурудгоҳи шаҳристон ҷксн (мешегон),فرودگاه شهرستان جکسن (میشیگان)
Фурудгоҳи шаҳристон ҷксн (тигзос),فرودگاه شهرستان جکسن (تگزاس)
Фурудгоҳи шаҳристон ҷксн (тинисӣ),فرودگاه شهرستان جکسن (تنسی)
Фурудгоҳи шаҳристон ҷксн (Ҷорҷия),فرودگاه شهرستان جکسن (جورجیا)
Фурудгоҳи шаҳристон ҷурҷ искот-товн,فرودگاه شهرستان جورج اسکات-تاون
Фурудгоҳи шаҳристон ҷурҷ товн,فرودگاه شهرستان جرج‌تاون
Фурудгоҳи шаҳ‌йин,فرودگاه شه‌ین
Фурудгоҳи шглук,فرودگاه شگلوک
Фурудгоҳи шгуон гуиту,فرودگاه شگوان گویتو
Фурудгоҳи шдик бриҷ,فرودگاه شدیک بریج
Фурудгоҳи шен‌ёнг мен‌гонг,فرودگاه شین‌یانگ مین‌گانگ
Фурудгоҳи шибҳ,فرودگاه شیبه
Фурудгоҳи шиготсҳ пис,فرودگاه شیگاتسه پیس
Фурудгоҳи шизуко,فرودگاه شیزوکا
Фурудгоҳи шикуко,فرودگاه شیکوکا
Фурудгоҳи шилонг,فرودگاه شیلانگ
Фурудгоҳи шимло,فرودگاه شیملا
Фурудгоҳи шимол хоркуф,فرودگاه شمال خارکوف
Фурудгоҳи шимол шарқ карбало,فرودگاه شمال شرق کربلا
Фурудгоҳи шимуҷишимо,فرودگاه شیموجیشیما
Фурудгоҳи шингии,فرودگاه شینگیی
Фурудгоҳи шинглтун,فرودگاه شینگلتون
Фурудгоҳи шингт دлион,فرودگاه شینگتای دلیان
Фурудгоҳи шинионго,فرودگاه شینیانگا
Фурудгоҳи шион вудонгшон,فرودگاه شیان وودانگشان
Фурудгоҳи шионгионг люҷи,فرودگاه شیانگیانگ لیوجی
Фурудгоҳи шионгюн,فرودگاه شیانگیون
Фурудгоҳи шипрок,فرودگاه شیپراک
Фурудгоҳи ширкати Ест Орегон Кетл,فرودگاه شرکتی ایست اریگن کتل
Фурудгоҳи шируру,فرودگاه شیرورو
Фурудгоҳи шифт крнт,فرودگاه شیفت کرنت
Фурудгоҳи шичонг қингшон,فرودگاه شیچانگ قینگشان
Фурудгоҳи шишморф,فرودگاه شیشمارف
Фурудгоҳи шишуонгбоно госо,فرودگاه شیشوانگبانا گاسا
Фурудгоҳи шктулик,فرودگاه شکتولیک
Фурудгоҳи шку,فرودگاه شکو
Фурудгоҳи шлдн пуинт,فرودگاه شلدن پوینت
Фурудгоҳи шлтр кӯ,فرودگاه شلتر کو
Фурудгоҳи шмбли,فرودگاه شمبلی
Фурудгоҳи шмидт,فرودگاه شمیدت
Фурудгоҳи шмрок,فرودگاه شمراک
Фурудгоҳи шмтуо,فرودگاه شمتوا
Фурудгоҳи шнгрфи,فرودگاه شنگرفی
Фурудгоҳи шндл оистит,فرودگاه شندل ایستیت
Фурудгоҳи шнику ктл,فرودگاه شنیکو کتل
Фурудгоҳи шнику рнч,فرودگاه شنیکو رنچ
Фурудгоҳи шннжио,فرودگاه شننژیا
Фурудгоҳи шнту вишо,فرودگاه شنتو ویشا
Фурудгоҳи шнут мортн ҷонсн,فرودگاه شنوت مارتن جانسن
Фурудгоҳи шодӣ кӯ,فرودگاه شادی کو
Фурудгоҳи шолун вотри,فرودگاه شالون واتری
Фурудгоҳи шомбри,فرودگاه شامبری
Фурудгоҳи шомбри совуи,فرودگاه شامبری ساووی
Фурудгоҳи шонгнок,فرودگاه شانگناک
Фурудгоҳи шонгунгу,فرودگاه شانگونگو
Фурудгоҳи шонгҳ لнқуо,فرودگاه شانگهای لنقوا
